epoch,lr-AdamW,step,train_dice_epoch,train_dice_step,train_iou_epoch,train_iou_step,train_loss_epoch,train_loss_step,val_dice,val_iou,val_loss
,0.00034614601130971394,1080,,,,,,,,,
30,,1099,,0.5430971384048462,,0.3839047849178314,,0.6988519430160522,,,
30,,1115,,,,,,,0.7186608910560608,0.5877473950386047,0.5031513571739197
30,,1115,0.7190124988555908,,0.5877435207366943,,0.49859634041786194,,,,
,0.00031662178593400354,1116,,,,,,,,,
31,,1119,,0.6082019805908203,,0.47825920581817627,,0.6600838899612427,,,
31,,1139,,0.7131068706512451,,0.5661191940307617,,0.5102539658546448,,,
31,,1151,,,,,,,0.7203232645988464,0.5895674824714661,0.5036197900772095
31,,1151,0.7222167253494263,,0.5908904671669006,,0.4968436062335968,,,,
,0.00028782324386324626,1152,,,,,,,,,
32,,1159,,0.7505010366439819,,0.6166892647743225,,0.49141812324523926,,,
32,,1179,,0.6790692806243896,,0.5340584516525269,,0.5511342883110046,,,
32,,1187,,,,,,,0.7117220759391785,0.5807696580886841,0.5086843967437744
32,,1187,0.7224059700965881,,0.591386616230011,,0.4965135455131531,,,,
,0.00025986403978619317,1188,,,,,,,,,
33,,1199,,0.550713062286377,,0.4009188711643219,,0.7276556491851807,,,
33,,1219,,0.6942316293716431,,0.5451174378395081,,0.589853048324585,,,
33,,1223,,,,,,,0.7145441770553589,0.585556149482727,0.5032978057861328
33,,1223,0.7207258343696594,,0.5892990231513977,,0.4983396828174591,,,,
,0.00023285451590799105,1224,,,,,,,,,
34,,1239,,0.7857862710952759,,0.668904185295105,,0.2772655487060547,,,
34,,1259,,0.5447695255279541,,0.4028142988681793,,0.6054950952529907,,,
34,,1259,,,,,,,0.7277971506118774,0.5976952314376831,0.4967343509197235
34,,1259,0.7257805466651917,,0.5951266288757324,,0.4935445785522461,,,,
,0.0002069012664799097,1260,,,,,,,,,
35,,1279,,0.8381845951080322,,0.7294113039970398,,0.38640785217285156,,,
35,,1295,,,,,,,0.7225419282913208,0.5936797857284546,0.4975634515285492
35,,1295,0.7287494540214539,,0.5985174775123596,,0.49094855785369873,,,,
,0.00018210671712052946,1296,,,,,,,,,
36,,1299,,0.8279046416282654,,0.7226684093475342,,0.33971408009529114,,,
36,,1319,,0.7797024250030518,,0.655522882938385,,0.35571253299713135,,,
