epoch,lr-AdamW,step,train_dice_epoch,train_dice_step,train_iou_epoch,train_iou_step,train_loss_epoch,train_loss_step,val_dice,val_iou,val_loss
36,,1331,,,,,,,0.7319831252098083,0.6021162271499634,0.4951534867286682
36,,1331,0.7295424938201904,,0.5992860794067383,,0.4909444749355316,,,,
,0.00015856872058861996,1332,,,,,,,,,
37,,1339,,0.820915937423706,,0.701701283454895,,0.4940345287322998,,,
37,,1359,,0.7279152870178223,,0.5992807745933533,,0.46260929107666016,,,
37,,1367,,,,,,,0.7282976508140564,0.598635733127594,0.49643194675445557
37,,1367,0.7310202717781067,,0.6011406183242798,,0.48952043056488037,,,,
,0.00013638017060300502,1368,,,,,,,,,
38,,1379,,0.7920308113098145,,0.669184148311615,,0.4372742772102356,,,
38,,1399,,0.5403715968132019,,0.4050019681453705,,0.6591193079948425,,,
38,,1403,,,,,,,0.7320272922515869,0.6027431488037109,0.4931473433971405
38,,1403,0.7312343716621399,,0.6014043688774109,,0.48949071764945984,,,,
,0.0001156286352334933,1404,,,,,,,,,
39,,1419,,0.7402091026306152,,0.6002454161643982,,0.530180037021637,,,
39,,1439,,0.7788177728652954,,0.648440957069397,,0.516830325126648,,,
39,,1439,,,,,,,0.7318958044052124,0.6022056937217712,0.4947219789028168
39,,1439,0.7334460616111755,,0.6036731600761414,,0.4876467287540436,,,,
,9.639601130971378e-05,1440,,,,,,,,,
40,,1459,,0.6507072448730469,,0.49342501163482666,,0.6534764170646667,,,
40,,1475,,,,,,,0.7353963255882263,0.6058104634284973,0.4922918677330017
40,,1475,0.7347357869148254,,0.6047770977020264,,0.48713991045951843,,,,
,7.875820121174356e-05,1476,,,,,,,,,
41,,1479,,0.7416300773620605,,0.6017841100692749,,0.5287905931472778,,,
41,,1499,,0.6033452749252319,,0.46177464723587036,,0.6301463842391968,,,
41,,1511,,,,,,,0.7367398142814636,0.6068383455276489,0.4928593635559082
41,,1511,0.7339661717414856,,0.6043984293937683,,0.4870125949382782,,,,
,6.278481331809012e-05,1512,,,,,,,,,
42,,1519,,0.6605830192565918,,0.5102294087409973,,0.538105845451355,,,
42,,1539,,0.8249226212501526,,0.7126034498214722,,0.4300737977027893,,,
42,,1547,,,,,,,0.737616240978241,0.6083177328109741,0.49071910977363586
42,,1547,0.7367781400680542,,0.6072268486022949,,0.48554766178131104,,,,
,4.853888729322332e-05,1548,,,,,,,,,
43,,1559,,0.8112341165542603,,0.6940827369689941,,0.5240441560745239,,,
43,,1579,,0.8287486433982849,,0.7144055962562561,,0.44205889105796814,,,
43,,1583,,,,,,,0.7373263239860535,0.6081547141075134,0.4904162883758545
43,,1583,0.7366669774055481,,0.6072479486465454,,0.48546719551086426,,,,
,3.607664529881844e-05,1584,,,,,,,,,
44,,1599,,0.5553356409072876,,0.41785070300102234,,0.5586737394332886,,,
44,,1619,,0.7640661001205444,,0.6377418637275696,,0.39141103625297546,,,
44,,1619,,,,,,,0.7341578006744385,0.6050617098808289,0.4919469356536865
44,,1619,0.7368878126144409,,0.6073216199874878,,0.48552992939949036,,,,
,2.5447270110570804e-05,1620,,,,,,,,,
45,,1639,,0.6862860321998596,,0.5570253133773804,,0.4120352268218994,,,
45,,1655,,,,,,,0.7357327342033386,0.6063669919967651,0.4919900894165039
45,,1655,0.7364528179168701,,0.6071891188621521,,0.48529475927352905,,,,
,1.6692711016248827e-05,1656,,,,,,,,,
46,,1659,,0.800419270992279,,0.6802763938903809,,0.4007100760936737,,,
46,,1679,,0.8560823202133179,,0.7557146549224854,,0.5073116421699524,,,
46,,1691,,,,,,,0.7347684502601624,0.6054246425628662,0.49231159687042236
46,,1691,0.7382611036300659,,0.6090251207351685,,0.48417946696281433,,,,
,9.84751826101998e-06,1692,,,,,,,,,
47,,1699,,0.5750107765197754,,0.4167286157608032,,0.6098357439041138,,,
47,,1719,,0.8642956018447876,,0.7656769752502441,,0.45016974210739136,,,
47,,1727,,,,,,,0.7370678782463074,0.6078954935073853,0.49062442779541016
47,,1727,0.7372834086418152,,0.6080314517021179,,0.48462122678756714,,,,
,4.938706693418354e-06,1728,,,,,,,,,
48,,1739,,0.6945428252220154,,0.5481360554695129,,0.4889588952064514,,,
48,,1759,,0.8438599109649658,,0.7378548383712769,,0.37561777234077454,,,
48,,1763,,,,,,,0.7369101047515869,0.6077213287353516,0.49072501063346863
48,,1763,0.7380611896514893,,0.6087976098060608,,0.4843777120113373,,,,
,1.9856491500783555e-06,1764,,,,,,,,,
49,,1779,,0.7449567914009094,,0.6088732481002808,,0.49917900562286377,,,
49,,1799,,0.5806221961975098,,0.4390720725059509,,0.5287994146347046,,,
49,,1799,,,,,,,0.7367821931838989,0.6075582504272461,0.49091729521751404
49,,1799,0.7374589443206787,,0.6080358624458313,,0.48473548889160156,,,,
